date,temp,rh,pressure,rs,wind,t_p ,Hr_p,pa_p ,rs_p ,wind_p 
14-12-2021,18.9,46.5,961,33.2,10.7,100,100,100,100,100
15-12-2021,21,41.9,959,33.6,0,100,100,100,100,100
16-12-2021,20.1,51.8,959,33.8,0,100,100,100,100,100
17-12-2021,20,55.5,960,32.8,0,96,96,96,96,96
18-12-2021,22.2,44.6,958,34.1,0,100,100,100,100,100
19-12-2021,23.9,44,957,34.1,0,100,100,100,100,100
20-12-2021,23.8,43,957,34.4,0,100,100,100,100,100
21-12-2021,22.6,46.6,957,34.4,0,100,100,100,100,100
22-12-2021,21.4,50.6,957,34.1,0,100,100,100,100,100
23-12-2021,19.6,65.2,961,33,0,100,100,100,100,100
24-12-2021,23,46.8,959,33.8,0,100,100,100,100,100
25-12-2021,23.8,42.6,958,32.3,0,100,100,100,100,100
26-12-2021,24.4,41.7,958,30.1,0,100,100,100,100,100
27-12-2021,23,51.6,958,28.9,0,100,100,100,100,100
28-12-2021,22.2,57.6,958,32.3,0,100,100,100,100,100
29-12-2021,18,70.6,960,27.1,0,100,100,100,100,100
30-12-2021,22.8,48.2,961,33.1,0,100,100,100,100,100
31-12-2021,23,41,957,34.2,0,100,100,100,100,100
01-01-2022,19.9,40.7,958,34.1,0,100,100,100,100,100
02-01-2022,20.6,45.9,960,34,0,100,100,100,100,100
03-01-2022,22.3,44.3,961,33.6,0,100,100,100,100,100
04-01-2022,22.8,49.3,958,33.2,0,100,100,100,100,100
05-01-2022,23.4,48.4,957,32.3,0,100,100,100,100,100
06-01-2022,21.5,55.8,957,33,0,100,100,100,100,100
07-01-2022,23,48.2,957,33.8,0,100,100,100,100,100
08-01-2022,22.2,56.2,958,32.5,0,100,100,100,100,100
09-01-2022,20.8,61.2,961,28.8,0,100,100,100,100,100
10-01-2022,22.3,52.2,961,30.5,0,100,100,100,100,100
11-01-2022,23.2,50.8,960,30.6,0,100,100,100,100,100
12-01-2022,22.4,59.2,959,31.4,0,100,100,100,100,100
13-01-2022,20.7,64.8,960,31.2,0,100,100,100,100,100
14-01-2022,23,50.2,958,31.6,0,100,100,100,100,100
15-01-2022,21.8,58.8,960,32.3,0,100,100,100,100,100
16-01-2022,18,70.6,961,24.1,0,100,100,100,100,100
17-01-2022,18.2,53.8,961,22.9,0,100,100,100,100,100
18-01-2022,19.3,37,958,32.6,0,100,100,100,100,100
19-01-2022,19.2,34.5,960,33.1,0,100,100,100,100,100
20-01-2022,20,35.5,959,32.6,0,100,100,100,100,100
21-01-2022,20.3,36.2,957,32.7,0,100,100,100,100,100
22-01-2022,19.6,44,960,33.4,0,100,100,100,100,100
23-01-2022,21.6,43.7,959,33.2,0,100,100,100,100,100
24-01-2022,23.8,35.4,957,33,0,100,100,100,100,100
25-01-2022,22.3,46.7,957,32.4,0,100,100,100,100,100
26-01-2022,20.4,59.2,959,32.5,0,100,100,100,100,100
27-01-2022,20,61.4,959,31.6,0,100,100,100,100,100
28-01-2022,19.6,66.4,959,31.3,0,100,100,100,100,100
29-01-2022,19.1,64,960,30.9,0,100,100,100,100,100
30-01-2022,20.8,57.3,961,30.9,0,100,100,100,100,100
31-01-2022,22.1,50.2,959,31,0,100,100,100,100,100
01-02-2022,21.2,46,959,29.2,0,100,100,100,100,100
02-02-2022,21.4,51.8,959,30.7,0,100,100,100,100,100
03-02-2022,20.4,58.4,959,27.6,0,100,100,100,100,100
04-02-2022,20.2,59.2,961,30.6,0,100,100,100,100,100
05-02-2022,22.1,54.2,959,30.4,0,100,100,100,100,100
06-02-2022,24.2,42.8,957,30.6,0,100,100,100,100,100
