date,cod_wc
2022-05-11,0.125
2022-05-12,0.08999999999999997
2022-05-13,0.925
2022-05-14,0.62
2022-05-15,0.61
2022-05-16,0.72
2022-05-17,0.43500000000000005
2022-05-18,0.5675
2022-05-19,0.79
2022-05-20,0.365
2022-05-21,0.3075
2022-05-22,0.13
2022-05-23,0.06499999999999995
2022-05-24,0.13749999999999996
2022-05-25,0.72
2022-05-26,0.1925
2022-05-27,0.1925
2022-05-28,0.22250000000000003
2022-05-29,0.95
2022-05-30,0.795
2022-05-31,0.905
2022-06-01,0.565
2022-06-02,0.27
2022-06-03,0.0
2022-06-04,0.14
