date,rhmin,rhmax,rhmin_p,rhmax_p
01-05-2022,34.2,91.4,100,100
02-05-2022,29.6,89.9,100,100
03-05-2022,17.2,84.8,100,100
04-05-2022,24.8,86.2,100,100
05-05-2022,74,100,100,100
06-05-2022,28.2,100,100,100
07-05-2022,31.5,92.6,100,100
08-05-2022,71.7,95.8,96,96
09-05-2022,37.1,92.6,100,100
10-05-2022,31.4,88.6,100,100
11-05-2022,37.5,84,100,100
12-05-2022,44.6,85.4,100,100
13-05-2022,37.8,89,100,100
14-05-2022,41.4,89.2,100,100
15-05-2022,19.9,90.8,100,100
16-05-2022,37,87.2,100,100
17-05-2022,34.1,99.6,100,100
18-05-2022,35.6,100,100,100
19-05-2022,42.5,93.7,100,100
20-05-2022,46.5,88.6,100,100
21-05-2022,37.2,100,100,100
22-05-2022,53.4,77.2,100,100
23-05-2022,32.2,74.4,100,100
24-05-2022,45.7,80.4,100,100
25-05-2022,44.5,91.3,100,100
26-05-2022,63.4,100,100,100
27-05-2022,68,99.9,100,100
28-05-2022,62.3,92.2,100,100
29-05-2022,34.6,99.8,100,100
30-05-2022,28.9,88.9,100,100
31-05-2022,28.7,81.9,100,100
01-06-2022,43.6,82.2,100,100
02-06-2022,61.1,95.6,100,100
03-06-2022,49,96.8,100,100
04-06-2022,63,97.1,100,100
