date,rhmin,rhmax,tmin,tmax,temp,wind,rs,rh,pressure,et0,ra,et0_pmfao56,et0_hs,et0_fao24,et0_hamon
2021-04-15,28.7,94.3,8.6,26.3,17.4,7.5,18.4,61.5,958.0,4.0,25.573658339411256,3.8744377679468434,3.5410271378527556,3.2637585359126944,2.5638482512781766
2021-04-16,25.1,83.8,9.2,26.7,18.0,8.9,18.2,54.4,959.0,4.5,25.33705395477761,4.334537724199995,3.549894426109387,3.4596546049691344,2.6458816199990864
2021-04-17,54.9,100.0,9.9,19.9,14.9,14.5,15.8,77.4,961.0,2.9,25.102078154285927,2.8817385909372724,2.4211611776849353,2.4732906805906643,2.166824875170019
2021-04-18,43.4,94.0,11.0,23.6,17.3,9.5,14.1,68.7,959.0,3.3,24.86881865552847,3.207538408348045,2.8967629898288947,2.3511911269881036,2.5024913793356856
2021-04-19,53.9,94.9,7.8,19.9,13.8,11.5,17.4,74.4,959.0,2.9,24.63736227289156,2.8805327943880323,2.523382422114099,2.6706143962355076,1.9988613940427833
2021-04-20,44.2,91.9,9.6,20.1,14.8,9.9,13.1,68.1,959.0,2.9,24.407794859333336,2.831672437091904,2.4047253650392446,2.05671074007526,2.115174846303346
2021-04-21,21.7,86.1,12.3,22.8,17.6,15.1,17.5,53.9,961.0,4.9,24.180201250082224,4.724336298926884,2.5938705391844934,3.5021591059872,2.504822602262542
2021-04-22,44.3,100.0,6.6,21.3,14.0,9.3,16.0,72.2,959.0,2.9,23.95466520834728,2.9209764173765285,2.7218743691082814,2.432981939075585,1.9883813361438916
2021-04-23,71.0,90.9,11.5,14.3,12.9,6.2,2.6,81.0,962.0,1.1,23.731269373125397,0.8526113999414109,1.134942244206244,0.09214493424710585,1.845404318459821
2021-04-24,33.1,95.0,5.9,22.8,14.4,8.1,17.0,64.0,962.0,3.3,23.51009520918475,3.2565928702960196,2.9014294624516412,2.75800171344813,2.0149660791214394
2021-04-25,22.0,88.9,5.1,24.9,15.0,6.6,17.0,55.4,960.0,3.5,23.29122295929755,3.4478294339831232,3.1710755447789163,2.9142439180923803,2.07982724918425
2021-04-26,25.1,86.6,5.9,25.0,15.4,6.8,16.8,55.8,959.0,3.5,23.074731598788794,3.4279655531941886,3.124393050195226,2.904282810902671,2.120173463224724
2021-04-27,40.9,100.0,6.3,21.2,13.8,10.2,15.5,70.4,961.0,3.0,22.860698792461353,2.9944648596032692,2.5982373079667416,2.389497307047436,1.907405051224452
2021-04-28,24.9,95.1,5.7,24.8,15.2,9.0,16.1,60.0,961.0,3.9,22.64920085395083,3.7449532513548616,3.0477163570066432,2.7461457850489497,2.06994992564378
2021-04-29,38.4,89.8,5.9,22.5,14.2,8.8,15.4,64.1,961.0,3.1,22.44031270755708,3.092216743996466,2.727144895270286,2.4752192994535775,1.933520182896448
2021-04-30,65.8,98.7,9.1,15.7,12.4,6.8,5.3,82.2,963.0,1.3,22.234107852592196,1.2973982035918883,1.6051903880727072,0.48600069872449786,1.7180665338532481
2021-05-01,51.9,95.8,6.1,18.2,12.1,6.3,9.8,73.8,963.0,1.9,22.03065833027782,1.8550212395600756,2.131546671805918,1.2355325710661507,1.6767352279899808
2021-05-02,42.0,82.2,9.7,20.0,14.8,7.9,9.5,62.1,961.0,2.5,21.83003469321745,2.45722161865041,2.130175221211802,1.4417634302771187,1.973960154739117
2021-05-03,46.6,88.3,7.2,19.1,13.2,11.2,12.6,67.4,961.0,2.7,21.63230597746237,2.6590199486447115,2.1542590305827436,1.9208092133074544,1.7762981084899947
2021-05-04,52.9,93.7,5.9,18.3,12.1,7.7,9.3,73.3,964.0,1.93,21.437539677182357,1.9361703972991373,2.099715575351073,1.1814567863581085,1.6492493458613597
2021-05-05,36.6,94.3,5.5,21.3,13.4,6.0,14.7,65.4,965.0,2.51,21.24580172194526,2.4554302880405134,2.4541394197846307,2.208563735466637,1.7791941646671374
2021-05-06,20.2,87.3,4.6,25.6,15.1,6.6,15.2,53.8,960.0,3.41,21.05715645660202,3.3006513425296093,2.9617930884689634,2.6047234576281624,1.9680731172573738
2021-05-07,49.0,75.2,10.6,18.8,14.7,11.3,12.5,62.1,961.0,2.8,20.87166662376649,2.747060267293291,1.811467427970192,2.0596473365890673,1.9093369956865236
2021-05-08,56.7,85.8,8.4,16.5,12.4,5.8,7.8,71.2,964.0,1.59,20.689393348872052,1.5948945767136244,1.6547223798963004,0.9480721525639146,1.6450429752106228
2021-05-09,39.8,90.8,7.5,19.7,13.6,5.6,13.8,65.3,963.0,2.21,20.510396127779657,2.16746354589149,2.095606016541756,2.0603083686497827,1.7640088523573259
