date,tmean,tmin,tmax,hum,radsol,tmean_percent ,tmin_percent ,tmax_percent ,hum_percent ,radsol_percent  
29-08-2021,15.6,5.7,25.6,60.8,18.8,100,100,100,100,100
30-08-2021,10.8,7.9,13.7,81.6,9.4,100,100,100,100,100
31-08-2021,13.2,8.4,18,70.2,12.7,100,100,100,100,100
01-09-2021,11.2,3.8,18.5,70.8,9.8,100,100,100,100,100
02-09-2021,13.2,5.9,20.5,70.4,18.1,100,100,100,100,100
03-09-2021,11,8.8,13.3,82,5.1,100,100,100,100,100
04-09-2021,13.2,6.4,20.1,55.3,19.5,100,100,100,100,100
05-09-2021,11.6,4.2,19.1,64.4,19.9,100,100,100,100,100
06-09-2021,11.4,8.4,14.4,69.5,12.7,100,100,100,100,100
07-09-2021,10,6.7,13.3,59.2,13.3,100,100,100,100,100
08-09-2021,9.6,1.2,18.1,59.7,20.9,100,100,100,100,100
09-09-2021,13,2.1,23.9,45.5,21,100,100,100,100,100
10-09-2021,14.2,5.2,23.2,58,20.4,100,100,100,100,100
11-09-2021,11.1,8.6,13.7,71.8,5.3,100,100,100,100,100
12-09-2021,12,8.8,15.2,70.2,11.2,100,100,100,100,100
13-09-2021,8.8,5,12.6,71,13.7,100,100,100,100,100
14-09-2021,10.4,0.5,20.2,57.8,22.6,100,100,100,100,100
15-09-2021,12.1,2.4,21.8,48.8,22.2,100,100,100,100,100
16-09-2021,14,3.8,24.3,48.6,22.6,100,100,100,100,100
17-09-2021,14,6.4,21.5,61.6,22.1,100,100,100,100,100
18-09-2021,13.2,7.2,19.1,70,20.4,100,100,100,100,100
19-09-2021,11.6,6.4,16.8,70.6,18.5,100,100,100,100,100
20-09-2021,14,7.3,20.7,55.8,22.9,100,100,100,100,100
21-09-2021,12.6,5.5,19.7,60.8,22.5,100,100,100,100,100
22-09-2021,14.6,9.6,19.5,58.8,21.3,100,100,100,100,100
23-09-2021,15.9,5.3,26.5,50.7,24.2,100,100,100,100,100
24-09-2021,19.4,7.1,31.6,48.4,24.6,100,100,100,100,100
25-09-2021,15.6,10.2,21,66.6,20.8,100,100,100,100,100
26-09-2021,15,6.5,23.6,60.8,24.2,100,100,100,100,100
27-09-2021,16.4,7.5,25.4,55.8,24.3,100,100,100,100,100
28-09-2021,17.6,7.9,27.3,42.7,24.7,100,100,100,100,100
29-09-2021,15,5.8,24.2,34.2,15.8,100,100,100,100,100
30-09-2021,12.2,4.7,19.6,48.9,25.2,100,100,100,100,100
01-10-2021,13.9,5.6,22.2,56.9,24.7,100,100,100,100,100
02-10-2021,12.4,7.1,17.7,57.2,25.2,100,100,100,100,100
03-10-2021,12.7,4,21.4,48.2,25.9,100,100,100,100,100
04-10-2021,14.8,5.3,24.4,46,25.7,100,100,100,100,100
05-10-2021,14.6,6.7,22.5,52.6,25.4,100,100,100,100,100
06-10-2021,16.2,6.6,25.8,41.6,26,100,100,100,100,100
07-10-2021,14.8,7.3,22.2,52.2,26,100,100,100,100,100
08-10-2021,12.8,9.1,16.5,71.9,13.7,100,100,100,100,100
09-10-2021,13.3,5.9,20.7,61.8,26,100,100,100,100,100
10-10-2021,16,10,22,57.6,22.5,100,100,100,100,100
11-10-2021,17.9,8.2,27.6,51.7,27.4,100,100,100,100,100
12-10-2021,14.6,10.4,18.7,64.6,16.6,100,100,100,100,100
13-10-2021,15.6,10.3,20.9,59,23.6,100,100,100,100,100
14-10-2021,11.9,8.2,15.6,65.2,13.7,100,100,100,100,100
15-10-2021,12.2,4,20.3,52,27.9,100,100,100,100,100
16-10-2021,14.4,5.8,23.1,48.8,28.1,100,100,100,100,100
17-10-2021,15.9,7,24.8,46.2,28.2,100,100,100,100,100
18-10-2021,18.4,7.6,29.2,37.8,29.3,100,100,100,100,100
19-10-2021,20,10.1,29.8,52.2,27.7,100,100,100,100,100
20-10-2021,13.8,10.5,17,74.5,19.2,100,100,100,100,100
21-10-2021,16.1,8.8,23.4,60.4,22.6,100,100,100,100,100
22-10-2021,16.1,11.3,20.9,62.2,24.1,100,100,100,100,100
23-10-2021,15.1,6.9,23.3,49.7,28.7,100,100,100,100,100
24-10-2021,19,9.1,29,39.9,29.6,100,100,100,100,100
25-10-2021,21.5,11,32,36.8,29.9,100,100,100,100,100
26-10-2021,20.3,13.5,27.1,47.7,27.5,100,100,100,100,100
27-10-2021,18.8,11.1,26.4,57.8,28.7,100,100,100,100,100
28-10-2021,21.5,11.3,31.7,48.8,29.2,100,100,100,100,100
29-10-2021,21.5,13.2,29.8,38.7,29.3,100,100,100,100,100
30-10-2021,22.5,13.5,31.5,38.6,29.4,100,100,100,100,100
31-10-2021,18.6,12,25.3,54.4,22.1,100,100,100,100,100
01-11-2021,16.1,8.3,23.9,68.7,22.1,100,100,100,100,100
02-11-2021,19.2,9.4,29,59.4,29.6,100,100,100,100,100
03-11-2021,15.8,9.6,22,57.4,25.6,100,100,100,100,100
04-11-2021,16,11,21.1,61.1,21,100,100,100,100,100
05-11-2021,17.3,8.8,25.8,43.9,30.6,100,100,100,100,100
06-11-2021,16.4,7.9,24.9,52.8,31.4,100,100,100,100,100
07-11-2021,18,8.9,27.2,51.1,31.2,100,100,100,100,100
08-11-2021,20.4,11.3,29.5,45.4,31.2,100,100,100,100,100
09-11-2021,18,11.6,24.5,59.8,30.6,100,100,100,100,100
10-11-2021,17,9.7,24.4,67.6,28.2,100,100,100,100,100
11-11-2021,18.3,11.3,25.3,58.6,30.7,100,100,100,100,100
12-11-2021,18,10.6,25.4,60.4,30.3,100,100,100,100,100
13-11-2021,17.2,11.4,23,51.4,29.2,100,100,100,100,100
14-11-2021,18.6,10.1,27.1,41.9,32.6,100,100,100,100,100
15-11-2021,18,10.6,25.3,44.8,32,100,100,100,100,100
16-11-2021,19.8,11.6,28.1,42.4,31.9,100,100,100,100,100
17-11-2021,19.8,11.2,28.5,37,32.7,100,100,100,100,100
18-11-2021,20,11.3,28.6,43.3,31.8,100,100,100,100,100
19-11-2021,19.6,12.1,27.2,54.2,32,100,100,100,100,100
20-11-2021,19.6,10,29.3,60.2,32.2,100,100,100,100,100
21-11-2021,21.6,12.6,30.6,48.2,32.4,100,100,100,100,100
22-11-2021,23.2,14.2,32.3,41.8,32.5,100,100,100,100,100
23-11-2021,20.2,14,26.4,55.4,32.1,100,100,100,100,100
24-11-2021,18,12.2,23.8,63.9,22.5,100,100,100,100,100
25-11-2021,20.8,10.2,31.3,49.4,32.7,100,100,100,100,100
26-11-2021,20.1,13.9,26.3,56.9,31.5,100,100,100,100,100
27-11-2021,17.5,11.8,23.2,63.2,28,100,100,100,100,100
28-11-2021,19.6,10.4,28.7,44.2,32.8,100,100,100,100,100
29-11-2021,20.6,13.4,27.9,37.2,32.3,100,100,100,100,100
30-11-2021,17.3,10.4,24.2,53.4,32.6,100,100,100,100,100
01-12-2021,17.6,9.3,26,57.9,32.9,100,100,100,100,100
