Data,Eto
06-04-2022,5.72
07-04-2022,5.34
08-04-2022,5.41
09-04-2022,4.21
10-04-2022,3.73
11-04-2022,3.68
12-04-2022,4.52
13-04-2022,5.0
14-04-2022,4.44
15-04-2022,1.95
16-04-2022,3.65
17-04-2022,4.12
18-04-2022,3.8
19-04-2022,3.48
20-04-2022,3.4
21-04-2022,2.37
22-04-2022,3.37
23-04-2022,3.78
24-04-2022,3.07
25-04-2022,3.83
26-04-2022,2.95
27-04-2022,1.33
28-04-2022,2.18
29-04-2022,3.35
30-04-2022,3.13
01-05-2022,2.96
02-05-2022,2.96
03-05-2022,3.57
04-05-2022,4.17
05-05-2022,1.25
06-05-2022,3.04
07-05-2022,3.56
08-05-2022,3.015
09-05-2022,2.47
10-05-2022,3.15
11-05-2022,2.39
12-05-2022,1.97
13-05-2022,2.85
14-05-2022,1.91
15-05-2022,3.2
16-05-2022,2.49
17-05-2022,2.68
18-05-2022,2.82
19-05-2022,2.07
20-05-2022,2.07
21-05-2022,2.25
22-05-2022,1.79
23-05-2022,2.74
24-05-2022,1.79
25-05-2022,2.22
26-05-2022,1.42
27-05-2022,0.83
28-05-2022,1.06
29-05-2022,1.88
30-05-2022,1.91
31-05-2022,1.95
01-06-2022,1.56
02-06-2022,1.07
03-06-2022,1.5
04-06-2022,1.41
05-06-2022,2.26
06-06-2022,1.97
07-06-2022,1.8
08-06-2022,1.51
09-06-2022,1.09
10-06-2022,2.03
11-06-2022,3.03
12-06-2022,2.27
13-06-2022,1.3
14-06-2022,0.99
15-06-2022,1.3
16-06-2022,1.33
17-06-2022,1.35
18-06-2022,2.0
19-06-2022,1.7
20-06-2022,1.4
21-06-2022,1.02
22-06-2022,1.22
23-06-2022,1.61
24-06-2022,0.86
25-06-2022,1.38
26-06-2022,0.89
27-06-2022,1.52
28-06-2022,1.63
29-06-2022,2.06
30-06-2022,2.36
01-07-2022,1.67
02-07-2022,1.11
03-07-2022,0.55
04-07-2022,1.26
05-07-2022,1.49
06-07-2022,0.81
07-07-2022,1.34
08-07-2022,1.55
09-07-2022,1.04
