,temp,clouds,pressure,wind,humidity
1456322400,26.32,20,1015,1.17,46
1456329600,29.39,34,1014,2.63,38
1456336800,31.97,1,1012,2.6,25
1456344000,32.99,19,1012,3.56,26
1456351200,28.72,0,1011,2.99,42
1456394400,18.09,0,1011,1.18,62
1456401600,17.87,0,1012,0.0,57
1456408800,25.9,69,1011,0.94,39
1456416000,27.79,68,1011,3.06,32
1456423200,30.37,20,1010,0.0,19
1456430400,28.32,0,1011,3.3,26
1456437600,24.09,0,1011,3.04,36
1456480800,15.52,0,1012,0.68,59
1456488000,13.67,1,1015,0.0,58
1456495200,21.25,0,1013,1.53,44
1456502400,23.87,42,1013,1.57,37
1456509600,27.77,20,1011,2.6,18
1456516800,27.46,0,1012,2.94,29
1456524000,24.22,0,1012,2.9,40
1456567200,14.64,0,1013,1.6,53
1456574400,15.37,1,1015,0.0,68
1456581600,23.65,0,1014,0.95,34
1456588800,26.86,0,1013,2.03,31
1456596000,30.57,1,1011,2.6,17
1456603200,30.47,0,1012,2.59,22
1456610400,27.33,0,1012,2.68,31
1456653600,15.39,0,1012,1.62,50
1456660800,14.37,1,1015,0.0,59
1456668000,24.89,0,1013,0.97,31
1456675200,28.59,0,1013,1.7,28
1456682400,32.17,1,1011,2.6,15
1456689600,32.12,0,1012,2.83,21
1456696800,27.99,0,1012,3.03,35
1456740000,17.76,2,1013,1.3,48
1456747200,15.37,1,1015,0.0,64
1456754400,24.71,41,1013,1.25,36
1456761600,28.04,61,1013,2.21,33
1456768800,29.77,40,1012,3.1,24
1456776000,31.02,54,1013,3.13,30
1456783200,26.54,0,1013,3.09,41
1456826400,14.25,0,1012,1.35,64
1456833600,15.27,1,1014,0.0,69
1456840800,25.09,0,1013,0.74,36
1456848000,29.61,0,1011,1.88,23
1456855200,33.27,1,1008,1.5,18
1456862400,32.8,0,1010,3.18,22
1456869600,27.28,0,1011,3.27,41
1456912800,17.16,0,1012,1.05,56
1456920000,15.47,1,1013,0.0,62
1456927200,24.75,0,1012,0.98,39
1456934400,28.53,0,1011,2.15,34
1456941600,32.37,1,1008,2.1,17
1456948800,31.15,0,1010,3.49,29
1456956000,26.94,0,1010,3.03,45
1456999200,17.99,22,1012,1.12,53
1457006400,16.27,20,1014,0.5,61
1457013600,23.85,4,1013,1.7,44
1457020800,27.04,27,1012,2.48,39
1457028000,26.57,75,1011,1.5,33
1457035200,27.63,97,1012,3.04,41
1457042400,24.72,99,1011,2.19,53
1457085600,16.2,45,1013,1.2,67
1457092800,15.27,1,1014,0.0,83
1457100000,23.26,18,1013,1.5,50
1457107200,26.95,72,1013,2.27,42
1457114400,30.37,20,1010,3.1,25
1457121600,31.78,99,1011,3.08,26
1457128800,26.46,97,1011,3.15,49
1457172000,16.9,52,1014,1.09,72
1457179200,14.07,1,1015,0.0,85
1457186400,23.49,0,1014,1.47,50
1457193600,25.7,0,1012,2.21,47
1457200800,28.17,1,1011,0.0,33
1457208000,28.86,0,1011,3.68,36
1457215200,24.41,0,1012,2.93,53
1457258400,16.67,96,1015,0.39,74
1457265600,13.27,90,1018,0.0,89
1457272800,19.5,99,1016,1.26,64
1457280000,21.21,100,1016,1.96,60
1457287200,20.67,40,1016,2.1,58
1457294400,24.78,79,1015,2.6,47
1457301600,21.96,67,1014,2.23,58
1457344800,14.99,97,1015,0.45,80
1457352000,13.27,90,1017,0.0,85
1457359200,18.09,63,1015,1.81,69
1457366400,19.61,31,1015,2.38,63
1457373600,21.57,40,1015,1.5,53
1457380800,22.36,70,1015,1.37,51
1457388000,20.93,55,1015,1.47,57
1457431200,14.91,0,1016,1.31,76
1457438400,12.37,1,1019,0.0,91
1457445600,20.08,0,1016,1.23,59
1457452800,23.2,0,1016,2.12,51
1457460000,26.87,1,1014,2.6,36
1457467200,28.06,1,1014,2.75,34
1457474400,24.25,1,1014,2.57,54
1457517600,16.4,0,1015,1.52,61
1457524800,13.67,1,1017,0.0,87
1457532000,23.7,0,1014,0.53,44
1457539200,26.86,0,1013,1.55,34
1457546400,31.77,1,1011,2.6,20
1457553600,30.65,0,1012,2.61,26
1457560800,27.8,0,1011,2.39,35
1457604000,15.41,0,1013,1.25,56
1457611200,13.97,1,1015,0.0,74
1457618400,24.54,0,1014,1.09,38
1457625600,27.39,0,1014,2.25,38
1457632800,30.97,1,1011,0.0,25
1457640000,29.69,0,1012,3.28,38
1457647200,25.59,0,1012,2.69,55
1457690400,16.9,0,1014,0.66,67
1457697600,13.37,1,1016,0.0,91
1457704800,21.22,0,1015,1.33,57
1457712000,24.43,0,1014,2.32,51
1457719200,28.67,1,1011,2.1,31
1457726400,28.86,0,1012,3.79,41
1457733600,24.62,0,1012,2.65,58
1457776800,16.01,23,1014,0.58,81
1457784000,13.17,90,1016,0.0,91
1457791200,19.5,1,1016,1.8,70
1457798400,23.57,1,1016,2.56,64
1457805600,25.5,10,1015,2.73,50
1457812800,25.9,3,1015,2.65,48
1457820000,23.13,2,1015,2.99,62
1457863200,15.53,73,1015,1.76,75
1457870400,13.57,1,1017,0.0,91
1457877600,22.16,0,1016,1.0,53
1457884800,25.39,0,1016,2.03,45
1457892000,27.57,1,1014,2.6,39
1457899200,29.39,15,1014,2.7,35
1457906400,24.93,69,1013,2.23,58
1457949600,17.97,70,1013,0.7,65
1457956800,15.47,20,1015,0.0,89
1457964000,23.18,2,1014,1.21,52
1457971200,26.88,17,1014,2.42,50
1457978400,31.47,20,1011,2.1,26
1457985600,29.84,69,1012,3.37,43
1457992800,24.72,25,1013,2.41,60
1458036000,18.3,0,1014,0.85,71
1458043200,14.77,20,1016,0.0,85
1458050400,23.7,0,1014,1.59,57
1458057600,26.93,0,1014,2.56,49
1458064800,30.87,1,1011,1.5,26
1458072000,30.56,0,1012,3.32,41
1458079200,25.36,0,1012,2.39,57
1458122400,16.67,96,1010,0.89,63
1458129600,15.67,40,1011,0.0,77
1458136800,22.97,86,1011,1.7,53
1458144000,25.0,85,1012,2.58,53
1458151200,27.27,20,1011,2.6,31
1458158400,25.92,13,1012,2.71,52
1458165600,22.49,83,1012,2.34,61
1458208800,16.78,100,1015,0.34,80
1458216000,14.07,90,1018,0.0,87
1458223200,18.18,89,1018,1.84,74
1458230400,19.51,66,1018,2.06,71
1458237600,18.97,20,1018,2.1,65
1458244800,22.67,79,1016,2.62,57
1458252000,20.1,74,1015,2.79,65
1458295200,14.04,0,1014,1.2,76
1458302400,11.57,1,1016,0.0,92
1458309600,21.26,6,1013,1.12,55
1458316800,23.63,5,1012,1.84,46
1458324000,27.67,1,1010,0.0,26
1458331200,27.94,0,1011,3.04,33
1458338400,23.37,0,1011,1.93,53
1458381600,14.89,0,1012,0.87,66
1458388800,12.27,1,1014,0.0,76
1458396000,21.44,0,1013,1.24,50
1458403200,24.48,0,1013,2.09,44
1458410400,27.57,1,1010,2.6,28
1458417600,27.1,3,1012,2.98,40
1458424800,22.81,1,1012,2.19,58
1458468000,15.71,0,1013,1.1,56
1458475200,11.27,1,1015,0.0,91
1458482400,21.31,0,1013,0.83,49
1458489600,24.45,0,1013,2.03,42
1458496800,28.37,1,1011,2.6,21
1458504000,28.24,0,1013,3.11,32
1458511200,23.31,0,1013,2.16,57
1458554400,12.8,0,1014,0.92,71
1458561600,11.37,1,1017,0.0,91
1458568800,20.51,4,1015,1.38,48
1458576000,23.44,10,1015,2.19,46
