date,tmin,tmax,temp,rh,rhmin,rhmax,wind,cod_wc,ra,et0_pmfao56_raxwc
2021-03-24,9.31,26.09,15.605729166666668,62.75416666666666,24.51,93.13,1.9184375,0.948125,31.006290182738933,4.9807875817322
2021-03-25,8.06,25.34,14.738229166666663,61.37947916666667,14.88,95.4,1.9377083333333327,0.7123958333333333,30.757047392462624,3.807379891232528
2021-03-26,7.58,26.11,14.9509375,54.8775,10.04,90.2,1.528541666666667,0.8902083333333334,30.507409641926817,4.59840628226921
2021-03-27,11.24,28.79,18.44729166666667,39.438541666666666,9.88,73.8,1.5479166666666666,0.9744791666666667,30.257467353835857,5.779562911881262
2021-03-28,13.03,30.21,19.46677083333333,38.30895833333333,11.93,72.82,1.8325,0.9541666666666667,30.00731157511122,6.131037172391853
2021-03-29,12.04,27.74,17.9465625,60.9740625,24.2,85.44,1.835,0.999375,29.757033907602434,5.388735532366285
2021-03-30,11.33,27.95,17.824895833333333,59.10833333333333,23.05,89.02,1.8148958333333327,0.9915625,29.5067264378414,5.340138170574498
2021-03-31,12.28,27.21,17.8840625,56.67958333333333,29.2,76.6,1.885,0.3572916666666667,29.256481665980825,3.1482270882393557
2021-04-01,12.38,27.87,18.1975,57.591145833333336,28.17,79.1,1.7304166666666667,0.6922916666666667,29.006392434058565,3.927773114127911
2021-04-02,11.91,26.37,17.145416666666666,63.6053125,32.38,86.2,1.7404166666666667,0.37208333333333343,28.756551853731327,2.772563210331137
2021-04-03,12.29,28.57,18.2718,58.4943,26.8,80.2,1.5922,0.8734,28.507053233621747,4.5792252571684955
2021-04-04,11.69,26.43,17.5809375,59.774166666666666,26.96,94.3,1.8604166666666664,0.4196875,28.25799000642363,3.0417707738217654
2021-04-05,11.03,24.77,15.479270833333333,74.3490625,38.31,96.57,1.8514583333333328,0.25468749999999996,28.00945565590975,2.0111821645794437
2021-04-06,10.71,26.34,17.301145833333333,64.3653125,28.92,96.95,1.7409375,0.7784375,27.761543643986805,3.6795901701552975
2021-04-07,12.14,25.83,17.256249999999998,57.11083333333334,31.2,80.4,1.731458333333333,0.6866666666666668,27.514347337940727,3.572704421104008
2021-04-08,10.53,23.8,15.67375,60.706875,29.86,87.0,1.8503125,0.7972916666666667,27.267959938015036,3.619954367390858
2021-04-09,10.65,25.41,16.458229166666666,46.55135416666667,20.02,68.2,1.5872916666666663,0.9466666666666667,27.022474405463075,4.605465821248178
2021-04-10,8.77,24.31,15.125104166666668,53.459375,20.14,88.16,1.3776041666666667,0.8991666666666667,26.777983391213038,3.9280153130243027
2021-04-11,12.44,29.17,19.26364583333333,27.364375,10.38,57.33,1.6607291666666668,1.0,26.534579165282718,5.663770953290142
2021-04-12,14.82,30.52,20.998854166666668,23.964375,10.24,47.76,1.6310416666666667,1.0,26.292353547078083,5.85940891063885
2021-04-13,14.81,30.77,21.0478125,34.01114583333334,12.61,70.53,1.7840625,0.9859375,26.051397836706833,5.7633836277643145
